LotDescription,Return Month,EvidencedSpend,Sector,SME or Large,,SupplierName,CustomerName
Specialist Cloud Services,01/01/2013,12500,Central Government,SME,,FLYINGBINARY LTD,Office for Standards in Education
Specialist Cloud Services,01/04/2013,1800,Central Government,SME,,FLYINGBINARY LTD,Office for Standards in Education
Specialist Cloud Services,01/11/2013,10800,Central Government,SME,,FLYINGBINARY LTD,Office for Standards in Education
Specialist Cloud Services,01/12/2013,9800,Central Government,SME,,FLYINGBINARY LTD,Office for Standards in Education
Specialist Cloud Services,01/12/2013,550,Central Government,SME,,FLYINGBINARY LTD,Office for Standards in Education
Specialist Cloud Services,01/08/2013,38125,Central Government,SME,,FLYINGBINARY LTD,Office for Standards in Education
Specialist Cloud Services,01/12/2013,2550,Central Government,SME,,FLYINGBINARY LTD,Office for Standards in Education
Software as a Service (SaaS),01/03/2014,25000,Health,Large,,Softcat,Health Education England
Specialist Cloud Services,01/07/2012,13650,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/06/2012,2975,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/03/2014,6200,Central Government,SME,,Evolve Business Consultancy Ltd,Navy Command
Specialist Cloud Services,01/07/2013,-2625,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/08/2013,3071.25,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/05/2013,16400,Central Government,Large,,BJSS LTD,Department for Environment Food And Rural Affairs
Specialist Cloud Services,01/07/2013,1592.5,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/03/2013,12800,Central Government,Large,,BJSS LTD,Department for Environment Food And Rural Affairs
Specialist Cloud Services,01/04/2013,12800,Central Government,Large,,BJSS LTD,Department for Environment Food And Rural Affairs
Specialist Cloud Services,01/08/2013,128,Central Government,SME,,Bit Zesty,Cabinet Office
Specialist Cloud Services,01/12/2013,240,Central Government,SME,,Bit Zesty,Cabinet Office
Specialist Cloud Services,01/07/2013,232,Central Government,SME,,Bit Zesty,Cabinet Office
Specialist Cloud Services,01/10/2013,400,Central Government,SME,,Bit Zesty,Cabinet Office
Specialist Cloud Services,01/01/2014,1600,Central Government,SME,,Bit Zesty,Cabinet Office
Specialist Cloud Services,01/05/2013,1064,Central Government,SME,,Bit Zesty,Cabinet Office
Specialist Cloud Services,01/11/2013,136,Central Government,SME,,Bit Zesty,Cabinet Office
Specialist Cloud Services,01/03/2014,800,Central Government,SME,,Bit Zesty,Cabinet Office
Specialist Cloud Services,01/03/2014,0,Central Government,SME,,Bit Zesty,Cabinet Office
Specialist Cloud Services,01/07/2013,20520,Central Government,Large,,BJSS LTD,FCO Services
Specialist Cloud Services,01/07/2013,14962.5,Central Government,Large,,BJSS LTD,FCO Services
Specialist Cloud Services,01/06/2013,15390,Central Government,Large,,BJSS LTD,FCO Services
Specialist Cloud Services,01/06/2013,17955,Central Government,Large,,BJSS LTD,FCO Services
Specialist Cloud Services,01/09/2012,4375,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/10/2012,13300,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/01/2013,895,Health,Large,,BJSS LTD,NHS South Birmingham
Specialist Cloud Services,01/03/2013,16110,Health,Large,,BJSS LTD,NHS Shared Business Services
Specialist Cloud Services,01/05/2013,16781.25,Health,Large,,BJSS LTD,NHS Shared Business Services
Specialist Cloud Services,01/03/2013,3500,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/12/2012,6300,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/02/2013,9625,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/11/2012,9625,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/06/2013,8950,Health,Large,,BJSS LTD,City and Hackney Pct Com
Specialist Cloud Services,01/01/2013,17005,Health,Large,,BJSS LTD,NHS South Birmingham
Specialist Cloud Services,01/04/2013,17452.5,Health,Large,,BJSS LTD,NHS Shared Business Services
Specialist Cloud Services,01/02/2013,14767.5,Health,Large,,BJSS LTD,NHS Shared Business Services
Specialist Cloud Services,01/01/2013,16110,Health,Large,,BJSS LTD,NHS South Birmingham
Specialist Cloud Services,01/01/2013,18347.5,Health,Large,,BJSS LTD,NHS South Birmingham
Specialist Cloud Services,01/01/2013,15662.5,Health,Large,,BJSS LTD,NHS South Birmingham
Specialist Cloud Services,01/06/2013,2625,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,1706.25,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/03/2013,15200,Central Government,Large,,BJSS LTD,Department for Environment Food And Rural Affairs
Specialist Cloud Services,01/06/2013,8000,Central Government,Large,,BJSS LTD,Department for Environment Food And Rural Affairs
Specialist Cloud Services,01/01/2014,1062,Central Government,SME,,Bit Zesty,Cabinet Office
Specialist Cloud Services,01/06/2013,400,Central Government,SME,,Bit Zesty,Cabinet Office
Specialist Cloud Services,01/09/2013,200,Central Government,SME,,Bit Zesty,Cabinet Office
Specialist Cloud Services,01/06/2013,12825,Central Government,Large,,BJSS LTD,FCO Services
Specialist Cloud Services,01/04/2013,7350,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/05/2013,6125,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/08/2012,11550,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/01/2013,19466.25,Health,Large,,BJSS LTD,NHS South Birmingham
Specialist Cloud Services,01/01/2013,17005,Health,Large,,BJSS LTD,NHS South Birmingham
Specialist Cloud Services,01/01/2013,15215,Health,Large,,BJSS LTD,NHS South Birmingham
Specialist Cloud Services,01/02/2014,3915,Central Government,SME,,Deltascheme Ltd,UK Hydrographic Office
Specialist Cloud Services,01/02/2014,5150,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/01/2014,7150,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/03/2014,2850,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/03/2014,8600,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/01/2014,3550,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/02/2014,17600,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/01/2014,15975,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/09/2013,44275,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/10/2013,8600,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/10/2013,32500,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/02/2014,18275,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/02/2014,19575,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/01/2014,13175,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/03/2014,40795,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/02/2014,10400,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/01/2014,6225,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/01/2014,10000,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/03/2014,4675,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/03/2014,17100,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/03/2014,10650,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/02/2014,1425,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/10/2013,9175,Central Government,SME,,Solirius Ltd,Ministry of Justice
Specialist Cloud Services,01/10/2013,20940,Central Government,SME,,MEDLEY BUSINESS SOLUTIONS LTD,Home Office
Specialist Cloud Services,01/03/2014,14000,Central Government,SME,,Certes Computing Ltd,Home Office
Specialist Cloud Services,01/03/2014,700,Central Government,SME,,Certes Computing Ltd,Home Office
Specialist Cloud Services,01/09/2013,61750,Central Government,Large,,BJSS LTD,Foreign And Commonwealth Office
Specialist Cloud Services,01/06/2013,16245,Central Government,Large,,BJSS LTD,FCO Services
Specialist Cloud Services,01/06/2013,0,Central Government,Large,,BJSS LTD,FCO Services
Specialist Cloud Services,01/03/2013,8633.38,Health,Large,,Amor Business Technology Solutions Ltd,Maidstone and Tunbridge Wells NHS Trust
Specialist Cloud Services,01/03/2013,3278.05,Health,Large,,Amor Business Technology Solutions Ltd,Maidstone and Tunbridge Wells NHS Trust
Specialist Cloud Services,01/01/2014,4050,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/01/2014,810,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/01/2014,4050,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/01/2014,3510,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/01/2014,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/01/2014,2430,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/01/2014,3780,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/01/2014,2700,Central Government,Large,,FDM Group,National Audit Office
Specialist Cloud Services,01/01/2014,2700,Central Government,Large,,FDM Group,National Audit Office
Specialist Cloud Services,01/01/2014,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/01/2014,1215,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/03/2014,2700,Central Government,Large,,FDM Group,Education Funding Agency
Specialist Cloud Services,01/02/2014,6750,Central Government,Large,,FDM Group,National Audit Office
Specialist Cloud Services,01/10/2013,4050,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/10/2013,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/10/2013,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/12/2013,1215,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/12/2013,2430,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/11/2013,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/02/2014,2362.5,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/02/2014,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/02/2014,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/02/2014,540,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/02/2014,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/02/2014,3510,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/03/2014,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/03/2014,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/03/2014,2700,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/02/2014,5332.5,Central Government,Large,,FDM Group,Education Funding Agency
Specialist Cloud Services,01/03/2014,2700,Central Government,Large,,FDM Group,National Audit Office
Specialist Cloud Services,01/02/2014,10800,Central Government,Large,,FDM Group,Education Funding Agency
Specialist Cloud Services,01/03/2014,270,Central Government,Large,,FDM Group,Education Funding Agency
Specialist Cloud Services,01/12/2013,2700,Central Government,Large,,FDM Group,National Audit Office
Specialist Cloud Services,01/11/2013,2700,Central Government,Large,,FDM Group,National Audit Office
Specialist Cloud Services,01/02/2014,6480,Central Government,Large,,FDM Group,National Audit Office
Specialist Cloud Services,01/12/2013,2700,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/11/2013,2700,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/11/2013,2700,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/11/2013,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/11/2013,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/02/2014,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/02/2014,2700,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/03/2014,2160,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/03/2014,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/03/2014,2160,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/10/2013,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/10/2013,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/10/2013,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/12/2013,1080,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/11/2013,2700,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/02/2014,810,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/02/2014,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/03/2014,2700,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/03/2014,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/10/2013,4050,Central Government,Large,,FDM Group,National Audit Office
Specialist Cloud Services,01/03/2014,1350,Central Government,Large,,FDM Group,National Audit Office
Specialist Cloud Services,01/03/2014,5737.5,Central Government,Large,,FDM Group,National Audit Office
Specialist Cloud Services,01/10/2013,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/10/2013,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/12/2013,2700,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/12/2013,3915,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/11/2013,1282.5,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/11/2013,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/02/2014,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/02/2014,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/03/2014,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/03/2014,1350,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/03/2014,2430,Devolved Administrations,Large,,FDM Group,Department Of Education
Specialist Cloud Services,01/12/2013,20425.4,Central Government,SME,,Alpine Resourcing Limited,Ministry of Justice
Specialist Cloud Services,01/02/2014,20425.4,Central Government,SME,,Alpine Resourcing Limited,Ministry of Justice
Specialist Cloud Services,01/01/2014,22467.94,Central Government,SME,,Alpine Resourcing Limited,Ministry of Justice
Specialist Cloud Services,01/03/2014,4289.33,Central Government,SME,,Alpine Resourcing Limited,Ministry of Justice
Specialist Cloud Services,01/11/2013,21446.67,Central Government,SME,,Alpine Resourcing Limited,Ministry of Justice
Specialist Cloud Services,01/06/2013,18850,Health,SME,,Channel 3 Consulting LTD,Guys and St Thomas NHS Foundation Trust
Specialist Cloud Services,01/06/2013,18850,Health,SME,,Channel 3 Consulting LTD,Guys and St Thomas NHS Foundation Trust
Specialist Cloud Services,01/06/2013,13650,Health,SME,,Channel 3 Consulting LTD,Guys and St Thomas NHS Foundation Trust
Specialist Cloud Services,01/06/2013,13650,Health,SME,,Channel 3 Consulting LTD,Guys and St Thomas NHS Foundation Trust
Specialist Cloud Services,01/06/2013,13650,Health,SME,,Channel 3 Consulting LTD,Guys and St Thomas NHS Foundation Trust
Specialist Cloud Services,01/07/2013,92300,Health,SME,,Channel 3 Consulting LTD,Guys and St Thomas NHS Foundation Trust
Specialist Cloud Services,01/05/2013,13650,Health,SME,,Channel 3 Consulting LTD,Guys and St Thomas NHS Foundation Trust
Specialist Cloud Services,01/11/2013,1650,Central Government,SME,,Optevia,HS2 Ltd.
Specialist Cloud Services,01/01/2014,1650,Central Government,SME,,Optevia,HS2 Ltd.
Specialist Cloud Services,01/03/2014,1650,Central Government,SME,,Optevia,HS2 Ltd.
Specialist Cloud Services,01/10/2013,1650,Central Government,SME,,Optevia,HS2 Ltd.
Specialist Cloud Services,01/11/2013,1650,Central Government,SME,,Optevia,HS2 Ltd.
Specialist Cloud Services,01/03/2014,1650,Central Government,SME,,Optevia,HS2 Ltd.
Specialist Cloud Services,01/12/2013,1650,Central Government,SME,,Optevia,HS2 Ltd.
Specialist Cloud Services,01/08/2012,3712.5,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/10/2012,10890,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/11/2012,9900,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/12/2012,6435,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/01/2013,9405,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/09/2012,9652.5,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/01/2013,5600,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/09/2013,64125,Central Government,Large,,BJSS LTD,Foreign And Commonwealth Office
Specialist Cloud Services,01/10/2013,995.25,Fire and Rescue,SME,,4C Strategies Ltd,Hampshire Fire and Rescue Service
Software as a Service (SaaS),01/03/2014,5000,Health,SME,,INTECHNOLOGY PLC,Mid Yorkshire NHS Trust
Software as a Service (SaaS),01/03/2014,20000,Health,SME,,INTECHNOLOGY PLC,Mid Yorkshire NHS Trust
Specialist Cloud Services,01/03/2014,4951.64,Central Government,SME,,Involve Visual Collaboration LTD,Cabinet Office
Specialist Cloud Services,01/10/2013,742.5,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/10/2013,2160,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/12/2013,810,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/12/2013,2700,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/12/2013,151.54,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/12/2013,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/10/2013,4050,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/11/2013,2700,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/01/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/02/2014,2700,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/02/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/02/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/02/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/03/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/10/2013,945,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/12/2013,2700,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/01/2014,2430,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/01/2014,2497.5,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/01/2014,877.5,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/01/2014,1282.5,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/02/2014,540,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/02/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/02/2014,1080,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/02/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/02/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/03/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/03/2014,2430,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/10/2013,4050,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/10/2013,3375,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/01/2014,2700,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/01/2014,2295,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/01/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/01/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/02/2014,1080,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/02/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/03/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/03/2014,5130,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/03/2014,2700,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/03/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/03/2014,2700,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/10/2013,1080,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/11/2013,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/01/2014,4050,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/01/2014,5670,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/02/2014,2565,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/02/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/02/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/02/2014,2700,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/03/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/03/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/03/2014,1350,Central Government,Large,,FDM Group,Home Office
Specialist Cloud Services,01/01/2014,6400,Central Government,SME,,SmartSourcing PLC,Cabinet Office
Specialist Cloud Services,01/01/2014,5600,Central Government,SME,,SmartSourcing PLC,Cabinet Office
Specialist Cloud Services,01/02/2014,6000,Central Government,SME,,SmartSourcing PLC,Cabinet Office
Specialist Cloud Services,01/02/2014,2400,Central Government,SME,,SmartSourcing PLC,Cabinet Office
Specialist Cloud Services,01/02/2014,4000,Central Government,SME,,SmartSourcing PLC,Cabinet Office
Specialist Cloud Services,01/03/2013,6337.5,Health,Large,,BJSS LTD,NHS Shared Business Services
Specialist Cloud Services,01/01/2013,6256.25,Health,Large,,BJSS LTD,NHS South Birmingham
Specialist Cloud Services,01/01/2013,6662.5,Health,Large,,BJSS LTD,NHS South Birmingham
Specialist Cloud Services,01/02/2014,6400,Central Government,SME,,SmartSourcing PLC,Cabinet Office
Specialist Cloud Services,01/02/2014,9400,Central Government,SME,,SmartSourcing PLC,Cabinet Office
Specialist Cloud Services,01/01/2013,4793.75,Health,Large,,BJSS LTD,NHS South Birmingham
Specialist Cloud Services,01/04/2013,4956.25,Health,Large,,BJSS LTD,NHS Shared Business Services
Specialist Cloud Services,01/02/2013,6175,Health,Large,,BJSS LTD,NHS Shared Business Services
Specialist Cloud Services,01/05/2013,4200,Central Government,Large,,Sogeti UK Limited,Skills Funding Agency
Specialist Cloud Services,01/05/2013,6000,Central Government,Large,,Sogeti UK Limited,Skills Funding Agency
Specialist Cloud Services,01/04/2013,600,Central Government,Large,,Sogeti UK Limited,Skills Funding Agency
Specialist Cloud Services,01/04/2013,5100,Central Government,Large,,Sogeti UK Limited,Skills Funding Agency
Specialist Cloud Services,01/05/2013,6000,Central Government,Large,,Sogeti UK Limited,Skills Funding Agency
Specialist Cloud Services,01/03/2013,13162.5,Health,Large,,BJSS LTD,City and Hackney Pct Com
Specialist Cloud Services,01/04/2013,8500,Central Government,Large,,Sogeti UK Limited,Skills Funding Agency
Specialist Cloud Services,01/12/2012,7500,Central Government,Large,,Sogeti UK Limited,Skills Funding Agency
Specialist Cloud Services,01/02/2013,9500,Central Government,Large,,Sogeti UK Limited,Skills Funding Agency
Specialist Cloud Services,01/11/2012,10500,Central Government,Large,,Sogeti UK Limited,Skills Funding Agency
Specialist Cloud Services,01/03/2013,10000,Central Government,Large,,Sogeti UK Limited,Skills Funding Agency
Specialist Cloud Services,01/05/2013,10500,Central Government,Large,,Sogeti UK Limited,Skills Funding Agency
Specialist Cloud Services,01/01/2013,10500,Central Government,Large,,Sogeti UK Limited,Learning and Skills Improvement Service
Specialist Cloud Services,01/08/2013,4550,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,-12950,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,9100,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/06/2013,12950,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,8417.5,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/12/2012,10150,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/10/2012,14175,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/01/2013,12825,Health,Large,,BJSS LTD,City and Hackney Pct Com
Specialist Cloud Services,01/02/2013,13500,Health,Large,,BJSS LTD,City and Hackney Pct Com
Specialist Cloud Services,01/05/2013,14700,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/11/2012,13300,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/09/2012,12425,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/02/2013,12600,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/04/2013,14700,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/01/2013,13825,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/07/2012,14700,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/03/2013,12075,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/06/2012,3500,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/08/2012,7175,Health,Large,,BJSS LTD,NHS Connecting for Health
Specialist Cloud Services,01/07/2013,-6930,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,6435,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,1608.75,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/06/2013,9405,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,-9900,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/06/2013,8415,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,5469.75,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,7400.25,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/08/2013,6595.875,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/08/2013,6595.875,Health,Large,,BJSS LTD,Health Education England
Specialist Cloud Services,01/07/2013,-9900,Health,Large,,BJSS LTD,Health Education England
